old,new,id
Suberogerens_cyclophylla_PAFTOL031822,Asclepiadoideae_Asclepiadeae_Gonolobinae_Suberogerens_cyclophylla_PAFTOL031822,298
Tylodontia_stipitata_PAFTOL031714,Asclepiadoideae_Asclepiadeae_Gonolobinae_Tylodontia_stipitata_PAFTOL031714,314
Barjonia_laxa_CB448,Asclepiadoideae_Asclepiadeae_Metastelmatinae_Barjonia_laxa_CB448,33
Blepharodon_ampliflorum_CB9,Asclepiadoideae_Asclepiadeae_Metastelmatinae_Blepharodon_ampliflorum_CB9,38
Blepharodon_lineare_CB8,Asclepiadoideae_Asclepiadeae_Metastelmatinae_Blepharodon_lineare_CB8,39
Ditassa_auriflora_CB95,Asclepiadoideae_Asclepiadeae_Metastelmatinae_Ditassa_auriflora_CB95,87
Ditassa_blanchetti_CB92,Asclepiadoideae_Asclepiadeae_Metastelmatinae_Ditassa_blanchetti_CB92,88
Ditassa_grandiflora_PAFTOL025209,Asclepiadoideae_Asclepiadeae_Metastelmatinae_Ditassa_grandiflora_PAFTOL025209,89
Ditassa_mucronata_CB90,Asclepiadoideae_Asclepiadeae_Metastelmatinae_Ditassa_mucronata_CB90,90
Ditassa_obcordata_CB89,Asclepiadoideae_Asclepiadeae_Metastelmatinae_Ditassa_obcordata_CB89,91
Ditassa_taxifolia_CB93,Asclepiadoideae_Asclepiadeae_Metastelmatinae_Ditassa_taxifolia_CB93,92
Hemipogon_abietoides_CB81,Asclepiadoideae_Asclepiadeae_Metastelmatinae_Hemipogon_abietoides_CB81,131
Hemipogon_acerosus_CB453,Asclepiadoideae_Asclepiadeae_Metastelmatinae_Hemipogon_acerosus_CB453,132
Metastelma_ditassoides_CB82,Asclepiadoideae_Asclepiadeae_Metastelmatinae_Metastelma_ditassoides_CB82,166
Metastelma_harley_CB10,Asclepiadoideae_Asclepiadeae_Metastelmatinae_Metastelma_harley_CB10,167
Metastelma_parviflorum_CB83,Asclepiadoideae_Asclepiadeae_Metastelmatinae_Metastelma_parviflorum_CB83,168
Minaria_acerosa_CB411,Asclepiadoideae_Asclepiadeae_Metastelmatinae_Minaria_acerosa_CB411,172
Minaria_cordata_CB198,Asclepiadoideae_Asclepiadeae_Metastelmatinae_Minaria_cordata_CB198,173
